gene,nanes
MGG_00230,mep2
MGG_00401,pcd
MGG_02154,BAS4
MGG_02848,mc69
MGG_03468,slp2
MGG_04301,pwl2
MGG_04795,bas1
MGG_05344,MSP1
MGG_05785,bas113
MGG_05883,mep13
MGG_05895,bas3
MGG_07398,pwl3
MGG_07624,mep9
MGG_07749,bas2
MGG_07969,bas2
MGG_08355,mep6
MGG_08454,pcd
MGG_09378,BAS52/MoHEG13
MGG_09378,spd3
MGG_09379,BAS162
MGG_09693,bas2
MGG_10020,bas107
MGG_10097,slp1
MGG_10276,mep12
MGG_10532,pcd
MGG_10914,bas4
MGG_11610,bas3
MGG_12655,avr-pi9
MGG_13863,pwl2
MGG_15370,avr-pita
MGG_15371,mep5
MGG_15972,avr-pik
MGG_15972,mep11
MGG_16353,mep1
MGG_16379,mep8
MGG_16415,bas3
MGG_16570,mep7
MGG_16811,mep10
MGG_17249,mep3
MGG_17301,mep4
MGG_18401,avr-piz-t